,ds,cities,y,yhat,yhat_upper,yhat_lower
293,2024-06-01,Belgrade,,303.84658113577024,308.23552042356994,298.7632244173886
294,2024-07-01,Belgrade,,308.36504060531354,313.2562443481249,303.54793738730103
295,2024-08-01,Belgrade,,304.8875228025103,309.98327022718684,300.03601765340187
296,2024-09-01,Belgrade,,299.51013982471557,304.4443882869975,294.35760926882625
297,2024-10-01,Belgrade,,294.81279973269966,300.0096422731482,289.53879808105125
298,2024-11-01,Belgrade,,286.8028873250727,291.8397226158608,281.62409200695777
299,2024-12-01,Belgrade,,282.0843773323313,286.85467891441664,276.6482372678006
300,2025-01-01,Belgrade,,281.0669543301847,286.0905444959157,276.0617818249354
301,2025-02-01,Belgrade,,284.76639964579624,290.04860580542163,279.6640476203377
302,2025-03-01,Belgrade,,287.30950286714494,292.4323348533873,282.0893705783596
303,2025-04-01,Belgrade,,292.00087591107354,297.4000135984869,287.2267889292435
304,2025-05-01,Belgrade,,298.53029095636174,303.65497790012176,293.6536331821526
305,2025-06-01,Belgrade,,303.740962543056,308.8180865861997,298.7444117295329
306,2025-07-01,Belgrade,,308.2527966173099,313.20017018527375,302.8380232915623
307,2025-08-01,Belgrade,,305.5421918577181,310.6346386179726,300.5774529051365
308,2025-09-01,Belgrade,,300.2155662396406,305.5313774623227,294.74472235801284
309,2025-10-01,Belgrade,,294.36270237322196,299.88628417096845,289.2365194653145
310,2025-11-01,Belgrade,,286.8061635079685,292.35246376675497,281.02686089503663
311,2025-12-01,Belgrade,,282.5163563114386,287.84002093512237,276.863993302619
312,2026-01-01,Belgrade,,281.35008778257236,286.71722259527564,275.9242275162813
313,2026-02-01,Belgrade,,284.7295246314708,290.0271982638975,279.5607754527543
314,2026-03-01,Belgrade,,287.36706799422564,292.59437999780664,281.71375986991154
315,2026-04-01,Belgrade,,292.49789502921715,297.9263787155979,286.7057310502365
316,2026-05-01,Belgrade,,298.3987437378804,303.70296834307123,292.89384319519615
317,2026-06-01,Belgrade,,303.6360309521755,309.3333402906316,297.8229586114161
318,2026-07-01,Belgrade,,308.1517973714699,314.1213093628093,302.28698299139273
319,2026-08-01,Belgrade,,306.20558143865946,311.90245863625125,300.793023550507
320,2026-09-01,Belgrade,,300.9064557115031,306.1616192962355,295.34328214156994
321,2026-10-01,Belgrade,,293.9025917062403,299.7209992482172,288.4288340821363
322,2026-11-01,Belgrade,,286.8199813114095,292.43868692419977,281.105756733351
323,2026-12-01,Belgrade,,282.95455562128507,288.43854303793364,277.08016284049717
324,2027-01-01,Belgrade,,281.62964166992407,287.36678661948014,275.9037544370525
325,2027-02-01,Belgrade,,284.6897766516606,290.3413565809628,278.92726797488297
326,2027-03-01,Belgrade,,287.4302789102198,293.77865924153076,281.4046201536754
327,2027-04-01,Belgrade,,292.99194479063334,298.80381424471733,287.5559204730509
328,2027-05-01,Belgrade,,298.2588850318123,304.15173931625924,292.39575635437507
329,2027-06-01,Belgrade,,303.53216360301667,309.2323391315399,297.795421613521
